[2025-24-24 04:04:00 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:04:23 PM] | IP: 127.0.0.1 | Method: GET | URL: www.princeton.edu/ | Cache Status: HIT
[2025-24-24 04:07:06 PM] | IP: 127.0.0.1 | Method: GET | URL: www.amazon.in/ | Cache Status: HIT
[2025-24-24 04:32:14 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:33:23 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-24-24 04:52:54 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:56:33 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-24-24 05:02:21 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-25-25 03:59:21 PM] | IP: 142.251.42.100 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-09- 9 07:34:39 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-09- 9 07:35:45 PM] | IP: 142.250.76.196 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 05:56:33 PM] | IP: 142.251.220.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 05:57:28 PM] | IP: 142.251.220.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-12-12 08:05:20 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-13-13 12:27:45 PM] | IP: 142.250.67.164 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-19-19 03:04:52 PM] | IP: 142.251.42.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-19-19 03:07:09 PM] | IP: 142.251.42.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-19-19 03:08:25 PM] | IP: 142.251.42.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-19-19 03:09:05 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
