[2025-24-24 04:04:00 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:04:23 PM] | IP: 127.0.0.1 | Method: GET | URL: www.princeton.edu/ | Cache Status: HIT
[2025-24-24 04:07:06 PM] | IP: 127.0.0.1 | Method: GET | URL: www.amazon.in/ | Cache Status: HIT
[2025-24-24 04:32:14 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:33:23 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-24-24 04:52:54 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-24-24 04:56:33 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-24-24 05:02:21 PM] | IP: 127.0.0.1 | Method: GET | URL: httpbin.org/headers | Cache Status: HIT
[2025-25-25 03:59:21 PM] | IP: 142.251.42.100 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-08- 8 08:11:07 PM] | IP: 142.250.77.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 12:29:46 PM] | IP: 142.250.70.100 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 05:59:37 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 06:28:41 PM] | IP: 34.223.124.45 | Method: CONNECT | URL: neverssl.com | Cache Status: HIT
[2025-10-10 06:55:44 PM] | IP: 142.250.77.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 06:57:40 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:19:32 PM] | IP: 142.251.220.36 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:22:21 PM] | IP: 142.250.71.100 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:23:53 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:24:03 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:25:16 PM] | IP: 142.251.220.4 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-10-10 07:47:07 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-10-10 07:52:42 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-10-10 07:56:00 PM] | IP: 108.158.57.229 | Method: CONNECT | URL: www.amazon.com | Cache Status: HIT
[2025-10-10 07:57:04 PM] | IP: 43.225.53.124 | Method: CONNECT | URL: www.sggs.ac.in | Cache Status: HIT
[2025-10-10 08:29:03 PM] | IP: 142.250.76.196 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-12-12 07:52:45 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: MISS
[2025-12-12 07:52:45 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-12-12 07:59:20 PM] | IP: 142.250.207.164 | Method: CONNECT | URL: www.google.com | Cache Status: HIT
[2025-12-12 08:01:15 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-12-12 08:03:07 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
[2025-13-13 12:26:37 PM] | IP: 127.0.0.1 | Method: GET | URL: www.google.com/ | Cache Status: HIT
